college_code,branch_code,intake_capacity,fees_per_year,duration_years
04133,0413324510,60,,
06217,0621724210,180,,
06797,0679792610,60,,
06149,0614984410,120,,
06714,0671461210,60,,
02779,0277924210,120,,
05168,0516824510,60,,
16351,1635124210,60,,
03188,0318891110,120,,
04144,0414419110,60,,
06139,0613992110,60,,
03221,0322161210,60,,
03204,0320429310,60,,
04138,0413899710,180,,
04196,0419619110,30,,
02020,0202029310,30,,
06640,0664037210,60,,
01180,0118026310,60,,
06139,0613924610,120,,
02771,0277137210,60,,
01127,0112729310,60,,
03467,0346761210,60,,
06271,0627124610,180,,
03139,0313990010,120,,
04163,0416391210,60,,
04133,0413324210,60,,
05169,0516937210,60,,
06219,0621929310,30,,
06991,0699156610,180,,
04613,0461337210,60,,
06185,0618524510,180,,
02129,0212961210,60,,
06155,0615529310,60,,
06138,0613861210,30,,
03223,0322324510,180,,
02131,0213137210,60,,
03475,0347561210,30,,
16006,1600692110,75,,
06772,0677224510,120,,
06214,0621419110,60,,
06274,0627461210,120,,
02508,0250850310,30,,
03036,0303651410,34,,
05109,0510937210,120,,
05182,0518229310,60,,
06782,0678219110,60,,
03193,0319337210,60,,
05103,0510319110,60,,
06808,0680824510,180,,
03471,0347161210,30,,
06004,0600446410,60,,
01114,0111437210,120,,
06298,0629819110,60,,
02758,0275899710,60,,
04197,0419724210,60,,
03190,0319024610,60,,
03206,0320690010,60,,
06284,0628424610,120,,
03199,0319924510,180,,
06268,0626850710,60,,
03147,0314724510,60,,
03183,0318319110,60,,
05303,0530329310,60,,
06149,0614937210,60,,
06310,0631061210,120,,
05160,0516019110,120,,
03447,0344724510,60,,
02129,0212991110,60,,
04196,0419691210,60,,
04649,0464961210,60,,
03012,0301262610,60,,
03199,0319924610,180,,
06319,0631926310,30,,
06222,0622289610,60,,
04123,0412324610,120,,
06203,0620361210,90,,
06321,0632161210,30,,
06250,0625050710,60,,
06628,0662824510,120,,
06609,0660924510,120,,
06267,0626729310,60,,
03197,0319761210,120,,
06758,0675824510,60,,
06402,0640225910,60,,
05370,0537019110,60,,
03220,0322024510,42,,
02641,0264124210,60,,
02641,0264129310,60,,
05004,0500419110,60,,
04118,0411824510,108,,
05161,0516199510,60,,
06322,0632292110,60,,
06796,0679661210,60,,
03546,0354691110,60,,
03189,0318950710,60,,
03214,0321492010,90,,
02133,0213329310,60,,
01130,0113061210,30,,
01126,0112624210,120,,
03033,0303337810,25,,
06272,0627219110,120,,
03143,0314361210,60,,
05151,0515129310,60,,
05303,0530384410,60,,
06178,0617824510,300,,
02777,0277724210,60,,
06811,0681161210,60,,
06282,0628246610,60,,
04172,0417224210,120,,
04151,0415161210,120,,
05223,0522361210,60,,
02020,0202050710,30,,
04137,0413724210,240,,
06326,0632619110,60,,
04138,0413824610,120,,
06250,0625091110,180,,
02136,0213692110,30,,
04138,0413891210,180,,
06317,0631729310,60,,
14005,1400572910,15,,
06467,0646737210,60,,
04174,0417426610,60,,
03194,0319491210,180,,
04190,0419019110,60,,
01101,0110137210,120,,
03475,0347524510,180,,
05380,0538024510,180,,
06183,0618337210,30,,
02634,0263492110,60,,
06466,0646619110,30,,
05108,0510824610,180,,
06007,0600729310,60,,
05380,0538029310,120,,
06878,0687824210,60,,
06028,0602850710,60,,
06007,0600724610,60,,
04143,0414399510,60,,
04167,0416724610,180,,
05139,0513924610,120,,
03215,0321524210,120,,
06325,0632524510,60,,
06138,0613824610,90,,
06273,0627324610,360,,
02112,0211291210,60,,
02772,0277292110,60,,
04123,0412324210,180,,
04123,0412326610,60,,
06298,0629824610,180,,
02522,0252237210,60,,
05182,0518224510,120,,
03351,0335191210,60,,
03219,0321924610,60,,
01005,0100551710,15,,
06756,0675629310,30,,
06274,0627499510,60,,
06177,0617761210,300,,
06834,0683426310,120,,
05004,0500429310,60,,
03467,0346791110,120,,
05411,0541124510,120,,
03206,0320624510,60,,
03033,0303361210,46,,
03196,0319624510,180,,
04144,0414424610,60,,
05414,0541426310,60,,
06267,0626761210,180,,
05108,0510861210,120,,
05139,0513999510,60,,
03200,0320024610,60,,
05545,0554584410,60,,
03471,0347199510,120,,
04177,0417737210,60,,
04135,0413524610,60,,
06275,0627524610,60,,
03012,0301237610,60,,
03219,0321961210,30,,
03187,0318719110,120,,
04703,0470370110,60,,
03182,0318299510,120,,
06149,0614925310,60,,
05409,0540924510,120,,
06755,0675524510,120,,
06767,0676799510,120,,
06268,0626825210,60,,
06772,0677261210,150,,
02113,0211384410,120,,
06207,0620724510,240,,
06324,0632424510,90,,
06758,0675837210,30,,
01126,0112684410,60,,
04167,0416725110,120,,
03503,0350361210,60,,
06901,0690137210,60,,
06267,0626791110,180,,
03221,0322119110,60,,
04143,0414319110,54,,
03196,0319691210,60,,
16357,1635791110,60,,
05004,0500424510,60,,
05177,0517724510,180,,
06270,0627037210,60,,
01117,0111735610,60,,
03204,0320424510,180,,
06220,0622037210,120,,
06278,0627892110,120,,
16006,1600619110,150,,
02516,0251624210,120,,
06304,0630461210,30,,
06795,0679519110,30,,
04134,0413437210,60,,
01268,0126861210,30,,
03423,0342325810,30,,
05171,0517161210,60,,
02135,0213519110,60,,
05414,0541424510,120,,
03147,0314729310,30,,
06622,0662299510,120,,
05172,0517219110,60,,
03194,0319419110,60,,
03197,0319737210,60,,
03196,0319692010,60,,
06222,0622224210,120,,
06797,0679792210,30,,
03203,0320329310,60,,
06768,0676861210,60,,
06466,0646661210,30,,
06797,0679724210,120,,
06317,0631762410,60,,
03200,0320091010,60,,
02134,0213429310,60,,
03199,0319961210,180,,
06219,0621919110,54,,
06250,0625037210,120,,
03193,0319324610,40,,
06207,0620729310,60,,
06321,0632199510,60,,
05139,0513950710,60,,
06325,0632593310,60,,
02131,0213161210,30,,
04104,0410461210,60,,
06141,0614191610,60,,
16354,1635492110,60,,
05409,0540937210,60,,
06267,0626737210,120,,
03147,0314719110,30,,
06839,0683929310,60,,
06310,0631091310,60,,
04197,0419729310,60,,
01265,0126524210,60,,
06005,0600519110,60,,
06185,0618561210,210,,
04143,0414324210,30,,
03216,0321619110,60,,
04703,0470329310,60,,
06184,0618424610,60,,
03503,0350329310,60,,
06138,0613819110,30,,
06184,0618437210,60,,
